txn_id,date,narration,credit,debit,balance,utr,mode
TXN6974717337,2026-08-29,NEFT-RAZORPAY-pay_HfxIyUbgUExlYn,3702.12,0,103702.12,UTR560212726789,NEFT
TXN5282214351,2026-08-16,IMPS-RAZORPAY-pay_Kt3P0WpQGNgfgA,2066.87,0,105768.98999999999,UTR756273066667,IMPS
TXN1124134800,2026-08-08,IMPS-RAZORPAY-pay_cgZGC1QWkjYPsw,4824.84,0,110593.82999999999,UTR985704336119,IMPS
TXN7396777658,2026-08-27,NEFT-RAZORPAY-pay_Jo21llumCX7hQe,4701.17,0,115294.99999999999,UTR713278071230,NEFT
TXN1088715768,2026-08-23,UPI/RZP*/P8ZXmt/GTUpP8...,585.24,0,115880.23999999999,UTR580796391779,UPI
TXN4571954219,2026-09-01,PART1-RAZORPAY-pay_Gx50HAqxCJfz51,2571.37,0,118451.60999999999,UTR429794200685,NEFT
TXN3973126523,2026-09-01,PART2-RAZORPAY-pay_Gx50HAqxCJfz51,1714.24,0,120165.84999999999,UTR517896964201,NEFT
TXN8227159274,2026-08-18,IMPS-RAZORPAY-pay_jGz7AEvGBnWOts,4626.3,0,124792.15,UTR085835312580,IMPS
TXN5008042597,2026-08-22,NEFT-RAZORPAY-pay_5hpN68z5TD6P0o,734.14,0,125526.29,UTR836332580501,NEFT
TXN9373273171,2026-08-31,NEFT-RAZORPAY-pay_kldvPCJ84nRBSu,3182.47,0,128708.76,UTR698412025792,NEFT
TXN6535792784,2026-09-01,RTGS-RAZORPAY-pay_QY280N2WDLtL7t,3956.37,0,132665.13,UTR874579044449,RTGS
TXN3456688106,2026-08-07,NEFT-RAZORPAY-pay_XEWNaf01SLq047,2199.33,0,134864.46,UTR041055354834,NEFT
TXN5244568282,2026-08-18,NEFT-RAZORPAY-pay_9YD9Xd6NtpXnfM,1167.54,0,136032,UTR192698051598,NEFT
TXN9033222766,2026-08-14,RTGS-RAZORPAY-pay_8LQGIr9Hf8Me86,1347.22,0,137379.22,UTR386084134585,RTGS
