entry_id,invoice_id,expected_amount,received_amount,customer_name,due_date,status,payment_ref
LED-094359,INV-2026-7703,1692.59,,"Hauck, Friesen and Schowalter",2026-08-13,pending,pay_76tyXhTmYXYIgy
LED-867324,INV-2026-0821,4067.89,,Pollich and Sons,2026-08-04,pending,pay_90kmbddf0fNlGK
LED-053565,INV-2026-0902,4894.39,,Stiedemann - Murazik-Schoen,2026-08-05,pending,pay_wtqlymJ92njRUf
LED-380890,INV-2026-8848,3675.49,,Fadel - Ratke,2026-08-19,pending,pay_sjlwIOysRDBZ1l
LED-971354,INV-2026-7317,3997.49,,Quitzon - Ziemann,2026-08-06,pending,pay_QYcfCsKsM4c9k9
LED-073562,INV-2026-6898,1390.65,,Cormier Inc,2026-08-18,pending,pay_0EeZ8Bm0Q1YS0G
LED-987820,INV-2026-3957,373.79,,"Osinski, Littel and Klocko",2026-08-22,pending,pay_qupuVNka3rkAeZ
LED-059343,INV-2026-6644,1470.35,,Purdy - Schoen,2026-08-11,pending,pay_6HFkQr7dt3IcVa
LED-650010,INV-2026-4499,2746.25,,Paucek - Rempel,2026-08-08,pending,pay_gXv5WTjVNcyC7V
LED-733555,INV-2026-9214,4649.95,,Rosenbaum - Greenholt,2026-08-03,pending,pay_4SZ1XE6K3wSSY3
LED-095799,INV-2026-1216,957.45,,"Haley, Johns-Brekke and Greenholt",2026-08-07,pending,
LED-485494,INV-2026-4783,2215.65,,Sanford - Osinski,2026-08-19,pending,pay_wgVGwBrz00Zzhf
LED-318571,INV-2026-7274,1831.55,,"Kulas, Feeney and Shields",2026-08-05,pending,pay_joQKj6qxLJZoz2
LED-658673,INV-2026-0641,445.55,,"Sanford, Hettinger and VonRueden",2026-08-04,pending,pay_afBCpRbTmd2oP3
LED-514927,INV-2026-9512,1984.09,,Huel - Ernser,2026-08-28,pending,
LED-335740,INV-2026-3922,1968.71,,Toy - Bechtelar,2026-07-31,pending,pay_y0RvPzDkcKOWHy
LED-662458,INV-2026-4187,483.79,,Heller - Schultz,2026-08-15,pending,pay_Ewjh3MupXBwQTH
LED-822264,INV-2026-9562,381.55,,Haag LLC,2026-08-13,pending,pay_T1Xiyie9mqCaSW
LED-099494,INV-2026-6182,1688.59,,Feil - Bosco,2026-08-15,pending,pay_DddZVPRQqhftKI
LED-215644,INV-2026-4370,2087.85,,Streich Group,2026-08-18,pending,pay_nJhUBQFZzpzosm
LED-457551,INV-2026-4304,3722.85,,"Reynolds, Rosenbaum and Rau",2026-08-12,pending,pay_tc6XB9y06ewlOy
LED-931252,INV-2026-1978,3197.65,,"Quitzon, Bednar and Parisian",2026-08-23,pending,pay_uZ2Qlyo8pd7kLn
