payment_id,order_id,amount,currency,status,method,description,created_at,settled_at,fee,tax,settlement_id
pay_Po5tp3Mrg8PCg6,order_YBKgCnmj4Gtpy6,3559.25,INR,captured,card,Payment for INV-2026-4730,2026-08-17T02:04:39.918Z,2026-08-17T02:04:39.918Z,71.19,12.81,setl_esKspYhwBEDEpn
pay_wdE6XoWY7R4wVu,order_EvqUphYwctLojX,4113.25,INR,captured,upi,Payment for INV-2026-2731,2026-08-14T17:10:39.517Z,2026-08-14T17:10:39.517Z,82.27,14.81,setl_aKVD03zAAhlF7l
pay_l1bzDqdfTaz6xx,order_YppOQJDhw76uWu,4457.1,INR,captured,upi,Payment for INV-2026-5754,2026-08-19T09:43:37.573Z,2026-08-19T09:43:37.573Z,89.14,16.05,setl_qOLbZ2goqSl9TI
pay_UlwbI2Ue1dFpOq,order_LmoMGpqQUBIi30,920.55,INR,captured,netbanking,Payment for INV-2026-7107,2026-08-05T10:39:44.708Z,2026-08-06T10:39:44.708Z,18.41,3.31,setl_6XuKKuVWzp9Qn7
pay_BdYNCPE55mpkWI,order_jIiQvizGYd85pi,2361.05,INR,captured,upi,Payment for INV-2026-9958,2026-07-26T13:12:09.525Z,2026-07-26T13:12:09.525Z,47.22,8.5,setl_nYgCAw9WgS4r4W
pay_5t8OOYwPBy6FUz,order_0w5wSuYTGMLwAZ,3486.02,INR,captured,upi,Payment for INV-2026-4473,2026-08-23T15:59:59.117Z,2026-08-23T15:59:59.117Z,69.72,12.55,setl_7bVeaW6Ydc8zgK
pay_QF3eId3BqgRERL,order_kIoPlO6y1upiTS,4716.19,INR,captured,upi,Payment for INV-2026-7168,2026-08-19T07:52:49.310Z,2026-08-19T07:52:49.310Z,94.32,16.98,setl_ZztyW9ORSEwKFs
pay_9Yi3irjjDHsVHR,order_ft9VCYkBrzyY0S,2251.95,INR,captured,upi,Payment for INV-2026-8579,2026-08-13T10:13:23.910Z,2026-08-13T10:13:23.910Z,45.04,8.11,setl_LoRKF8ofRMvGJ1
pay_AO7zmKCrit1vEV,order_Vi1x8xj1uO1NNT,4223.35,INR,captured,upi,Payment for INV-2026-1465,2026-08-02T20:26:57.935Z,2026-08-02T20:26:57.935Z,84.47,15.2,setl_YClZ5JKbM8NFo6
pay_8VjEn9A4eixEyB,order_Ck6psRZXnE6g3A,4125.75,INR,captured,upi,Payment for INV-2026-1120,2026-08-11T05:26:57.905Z,2026-08-11T05:26:57.905Z,82.52,14.85,setl_v90Q9uMevFoevP
pay_v3xEkNQvVrCmML,order_TcEY4PUb1oYzzL,1995.89,INR,captured,netbanking,Payment for INV-2026-7835,2026-08-23T13:42:33.534Z,2026-08-24T13:42:33.534Z,39.92,7.19,setl_B0srF5RqzhqyXP
pay_i1yWYQ47CmuxsV,order_KCLHJ7caX6Mb9f,4089.92,INR,captured,card,Payment for INV-2026-7557,2026-08-14T11:14:07.045Z,2026-08-14T11:14:07.045Z,81.8,14.72,setl_dIircyhlrTFrVm
pay_ZHUBbaGfNrfs3r,order_N1QenxtR1RWjeb,1451.39,INR,captured,upi,Payment for INV-2026-6521,2026-08-23T15:15:18.245Z,2026-08-23T15:15:18.245Z,29.03,5.23,setl_mijMZV2PbJHDTu
pay_loWLbebLOp9cZ8,order_XjBpzWw9wh6MmD,2252.4,INR,captured,netbanking,Payment for INV-2026-6558,2026-08-07T04:10:22.042Z,2026-08-10T04:10:22.042Z,45.05,8.11,setl_ptX8tyJqzwduGS
pay_aATMCoZ4U6OppI,order_w58VwHVCZyT1eC,4892.45,INR,captured,upi,Payment for INV-2026-8906,2026-08-19T18:19:06.218Z,2026-08-19T18:19:06.218Z,97.85,17.61,setl_lV7W6QLTqZM0jt
pay_Ax5DmTQa50iGm6,order_hOW8OWOyzNDGKq,100.15,INR,captured,upi,Payment for INV-2026-8819,2026-08-14T17:02:12.071Z,2026-08-14T17:02:12.071Z,2,0.36,setl_ov9EqgLNWjh808
pay_d5p6brqA5LXqlT,order_eVvBL9hDUFqUMe,896.99,INR,captured,netbanking,Payment for INV-2026-0832,2026-08-17T11:26:41.349Z,2026-08-21T11:26:41.349Z,17.94,3.23,setl_9VvPuwHKrO0nZk
pay_IM4oPWzmMMsOJ5,order_8J7NzYrMf18XVG,2496.15,INR,captured,upi,Payment for INV-2026-3055,2026-08-02T01:43:49.647Z,2026-08-02T01:43:49.647Z,49.92,8.99,setl_VU4X6VIGeNHQ3t
pay_Jlf4Cyh21bkhxa,order_c8VOKRMkE51xYP,871.29,INR,captured,upi,Payment for INV-2026-0980,2026-08-10T04:03:05.526Z,2026-08-10T04:03:05.526Z,17.43,3.14,setl_9nu9mQ025LmYT1
pay_niFjSjH7Xwl9RT,order_CQ6Hw6zfpCixv6,1189.49,INR,failed,upi,Payment for INV-2026-5488,2026-08-23T12:18:57.694Z,,0,0,
pay_Ic7mfqcussIulF,order_6ziZKNuVHt2EoI,1674.89,INR,captured,upi,Payment for INV-2026-2878,2026-08-03T10:37:51.635Z,2026-08-03T10:37:51.635Z,33.5,6.03,setl_tv8GulvODQrz9W
pay_L3CdAH8vi7JzMq,order_m4C0CteR539dzs,572.65,INR,captured,upi,Payment for INV-2026-9615,2026-08-11T18:59:22.571Z,2026-08-11T18:59:22.571Z,11.45,2.06,setl_ZjL0ckxFv7E0rc
pay_ZFpj1CRvVKewG5,order_iHeG9ibI6by7ny,327.05,INR,captured,card,Payment for INV-2026-8163,2026-08-12T19:14:44.198Z,2026-08-12T19:14:44.198Z,6.54,1.18,setl_Nw1ITG0HRlkcx7
pay_6zOoaWRuwI8w1P,order_b2CGEPfNNHRDX6,2035.99,INR,captured,netbanking,Payment for INV-2026-2346,2026-08-09T09:44:22.691Z,2026-08-12T09:44:22.691Z,40.72,7.33,setl_rmmeKgpJa9AvJS
pay_VsAKkiMRe8RHTV,order_AbcXqgllG2VPRC,3035.99,INR,captured,upi,Payment for INV-2026-6327,2026-07-30T08:04:20.270Z,2026-07-30T08:04:20.270Z,60.72,10.93,setl_76PkWfpcoVY7Bj
pay_UcFj6yuQIZpgvU,order_exnU5o92CiIcgd,1738.99,INR,captured,card,Payment for INV-2026-9505,2026-08-01T03:26:51.005Z,2026-08-01T03:26:51.005Z,34.78,6.26,setl_Agsx3ebxYARxME
pay_vc9sfCKthUAPXt,order_LpuaeUbq4aW94f,2467,INR,captured,upi,Payment for INV-2026-1347,2026-08-21T18:29:54.468Z,2026-08-21T18:29:54.468Z,49.34,8.88,setl_cY8nBKmVPESypO
pay_ZQtt7DrLELdUKN,order_BfGpOkgio77bok,888.59,INR,captured,upi,Payment for INV-2026-5154,2026-07-27T17:31:14.150Z,2026-07-27T17:31:14.150Z,17.77,3.2,setl_UmaATEwTqCOcDW
pay_mdHmsziRz3xFop,order_IcNlveIrPjs293,583.79,INR,captured,card,Payment for INV-2026-1508,2026-07-29T09:01:34.772Z,2026-07-29T09:01:34.772Z,11.68,2.1,setl_Gk0FweWvOvpgdp
pay_jMztc7vrtgsCqQ,order_2xVgQJpxDEkEgR,3682.45,INR,captured,netbanking,Payment for INV-2026-9628,2026-08-01T19:47:39.904Z,2026-08-04T19:47:39.904Z,73.65,13.26,setl_8oifbijZaM69Ko
pay_WNs7H4QPtpnsSo,order_vcq5LoqgdMW9AY,694.49,INR,captured,upi,Payment for INV-2026-5263,2026-08-03T17:24:03.330Z,2026-08-03T17:24:03.330Z,13.89,2.5,setl_Yh004ZrHsLv8D0
pay_xSCjr3XiWt0PtS,order_Riy73C1uTMvYnO,1682.65,INR,failed,upi,Payment for INV-2026-7346,2026-08-09T11:56:27.709Z,,0,0,
pay_WyGXOj0B0g5hqa,order_xoIN0yCaZldWmO,2118.59,INR,captured,netbanking,Payment for INV-2026-2714,2026-07-25T19:23:27.178Z,2026-07-29T19:23:27.178Z,42.37,7.63,setl_dHPbbqnjc2m73Z
pay_G8dnKvlQWg8CrK,order_zzoSrpLzwLiRtY,3279.55,INR,captured,card,Payment for INV-2026-7090,2026-08-14T14:44:44.716Z,2026-08-14T14:44:44.716Z,65.59,11.81,setl_ZfKogKMmlIMfcU
